Time,Number_of_Casualties,Day_of_Week,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Vehicle_Type,Did_Police_Officer_Attend_Scene_of_Accident,Junction_Detail,Number_of_Vehicles,Accident_Severity
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Noche,1,Día laboral,9,30,4,9,-1,1,bike,3,3,1,3
Noche,1,Día laboral,6,30,4,1,1,1,bike,3,3,1,3
Mañana,1,Fin de semana,3,20,1,1,2,1,bike,1,9,1,2
Tarde,1,Día laboral,6,30,4,2,2,1,bike,1,0,1,3
Mañana,1,Fin de semana,9,30,1,1,1,1,bike,3,0,1,3
Tarde,1,Día laboral,3,30,5,8,1,1,bike,3,0,1,3
Mañana,2,Día laboral,3,30,1,1,1,1,bike,1,3,1,2
Mañana,1,Día laboral,2,20,1,9,1,1,bike,3,-1,1,3
Mañana,2,Día laboral,6,30,1,1,1,1,bike,1,3,1,3
Tarde,1,Día laboral,2,30,1,9,-1,1,bike,3,6,1,2
Tarde,1,Día laboral,2,30,1,9,-1,1,bike,3,3,1,3
Mañana,2,Día laboral,6,30,1,1,1,1,bike,1,0,1,2
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Mañana,1,Fin de semana,3,20,1,1,1,1,bike,1,0,1,3
Noche,1,Día laboral,6,20,4,2,2,1,bike,3,0,1,3
Noche,1,Día laboral,2,20,4,1,2,1,bike,3,6,1,3
Noche,1,Fin de semana,2,30,4,1,1,1,bike,1,3,1,2
Tarde,1,Fin de semana,6,20,1,9,1,1,bike,3,0,1,3
Noche,1,Día laboral,3,40,4,1,2,1,bike,1,6,1,3
Mañana,1,Fin de semana,6,30,1,1,1,1,bike,3,0,1,2
Mañana,1,Día laboral,2,30,1,1,1,1,bike,3,7,1,3
Noche,1,Día laboral,9,30,4,1,1,1,bike,3,3,1,3
Tarde,1,Día laboral,6,30,7,9,-1,1,bike,3,9,1,3
Noche,1,Día laboral,2,20,4,1,1,1,bike,1,3,1,3
Mañana,1,Fin de semana,9,30,1,1,-1,1,bike,3,3,1,3
Tarde,1,Día laboral,3,30,4,1,1,1,bike,3,0,1,3
Noche,2,Día laboral,2,20,4,1,1,1,bike,1,9,1,3
Mañana,1,Día laboral,6,30,4,9,-1,1,bike,3,3,1,3
Noche,1,Fin de semana,6,40,1,9,-1,1,bike,3,0,1,2
Tarde,1,Día laboral,6,20,4,1,1,1,bike,1,3,1,3
Tarde,1,Día laboral,6,20,1,1,4,1,bike,1,0,1,2
Noche,1,Día laboral,6,30,4,1,1,1,bike,1,0,1,2
Noche,1,Día laboral,6,30,4,9,-1,1,bike,3,6,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,3,3,1,3
Tarde,1,Día laboral,2,20,1,1,1,1,bike,1,0,1,2
Mañana,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,3,6,1,2
Noche,1,Día laboral,3,20,1,1,1,1,bike,3,6,1,2
Mañana,2,Día laboral,6,30,1,1,1,1,bike,3,3,1,3
Tarde,1,Fin de semana,6,30,1,1,1,1,bike,1,3,1,3
Tarde,1,Día laboral,9,30,1,1,1,1,bike,3,0,1,3
Mañana,2,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Mañana,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Mañana,1,Día laboral,6,30,1,1,1,1,bike,3,3,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Mañana,2,Día laboral,3,30,1,1,1,1,bike,1,6,1,3
Tarde,1,Día laboral,3,30,1,1,1,1,bike,1,1,1,3
Noche,1,Día laboral,3,30,4,1,1,1,bike,1,6,1,3
Noche,2,Día laboral,6,30,4,1,1,1,bike,1,9,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Mañana,1,Día laboral,6,30,1,1,1,1,bike,1,3,1,3
Tarde,1,Día laboral,3,40,1,1,1,1,bike,3,9,1,3
Tarde,1,Día laboral,6,30,1,9,-1,1,bike,3,3,1,3
Mañana,1,Fin de semana,2,30,1,1,1,1,bike,3,6,1,3
Noche,1,Día laboral,3,30,4,9,-1,1,bike,3,3,1,2
Noche,1,Día laboral,6,30,4,8,2,1,bike,1,0,1,3
Noche,1,Fin de semana,6,30,4,1,1,1,bike,3,3,1,3
Tarde,1,Fin de semana,6,30,1,1,1,1,bike,3,3,1,3
Tarde,1,Fin de semana,6,20,1,2,2,1,bike,1,3,1,3
Mañana,1,Fin de semana,6,30,1,1,1,1,bike,1,0,1,3
Noche,2,Día laboral,3,30,4,1,1,1,bike,1,0,1,3
Mañana,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,3,0,1,3
Noche,1,Día laboral,6,30,4,1,1,1,bike,3,3,1,2
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,3,1,2
Mañana,1,Día laboral,6,30,1,1,1,1,bike,1,3,1,3
Noche,1,Fin de semana,6,30,4,1,1,1,bike,1,3,1,3
Noche,2,Día laboral,6,30,4,1,1,1,bike,1,0,1,3
Mañana,1,Día laboral,6,30,1,1,1,1,bike,2,6,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,6,1,3
Tarde,2,Día laboral,6,30,1,1,1,1,bike,1,3,1,3
Tarde,2,Día laboral,6,30,1,1,1,1,bike,2,6,1,3
Noche,1,Día laboral,6,30,1,1,1,1,bike,1,3,1,3
Noche,1,Día laboral,6,30,1,1,1,1,bike,1,3,1,3
Tarde,2,Día laboral,6,30,1,9,1,1,bike,1,0,1,3
Noche,2,Fin de semana,6,30,1,9,1,1,bike,1,3,1,3
Mañana,2,Fin de semana,6,20,1,1,1,1,bike,1,3,1,3
Noche,2,Día laboral,6,30,4,1,1,1,bike,1,3,1,3
Mañana,1,Día laboral,6,30,1,1,1,1,bike,1,3,1,2
Noche,1,Día laboral,6,30,1,1,1,1,bike,2,6,1,3
Noche,1,Día laboral,6,30,1,1,1,1,bike,2,6,1,2
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Noche,1,Fin de semana,3,40,4,2,2,1,bike,1,3,1,3
Tarde,1,Fin de semana,6,30,1,9,1,1,bike,2,0,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,3,1,3
Tarde,1,Día laboral,6,30,1,3,2,1,bike,1,0,1,2
Noche,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,2,3,1,3
Noche,1,Día laboral,6,30,4,1,1,1,bike,2,0,1,2
Tarde,1,Día laboral,6,30,1,1,1,1,bike,2,0,1,3
Noche,2,Día laboral,3,30,1,1,1,1,bike,1,0,1,2
Tarde,1,Día laboral,6,30,1,1,1,1,bike,2,3,1,3
Noche,1,Día laboral,6,30,4,1,1,1,bike,1,0,1,3
Noche,1,Día laboral,6,40,4,1,1,2,bike,1,0,1,2
Noche,1,Fin de semana,6,30,4,1,1,1,bike,1,3,1,3
Noche,1,Fin de semana,6,30,1,1,1,1,bike,1,0,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,6,1,3
Mañana,1,Día laboral,6,30,1,1,1,1,bike,1,3,1,3
Noche,2,Día laboral,6,30,4,1,1,1,bike,1,3,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,2,6,1,3
Noche,1,Día laboral,6,20,1,1,1,1,bike,1,0,1,3
Noche,1,Fin de semana,6,30,1,2,2,1,bike,1,0,1,3
Mañana,1,Día laboral,6,30,1,1,1,1,bike,1,3,1,3
Tarde,1,Fin de semana,6,30,1,1,1,1,bike,2,3,1,3
Mañana,1,Fin de semana,2,30,1,1,1,1,bike,1,0,1,3
Mañana,2,Día laboral,6,30,1,1,1,1,bike,1,6,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Mañana,1,Fin de semana,6,30,1,1,1,1,bike,1,3,1,3
Tarde,1,Fin de semana,6,30,1,2,2,1,bike,2,3,1,3
Noche,1,Día laboral,2,30,1,1,1,1,bike,1,0,1,3
Noche,1,Fin de semana,6,30,1,1,1,1,bike,1,0,1,3
Tarde,1,Día laboral,6,30,1,2,2,1,bike,1,0,1,3
Noche,2,Día laboral,6,30,4,1,1,1,bike,1,3,1,2
Tarde,1,Fin de semana,6,30,1,1,1,1,bike,1,3,1,3
Tarde,1,Día laboral,3,30,4,2,2,1,bike,1,3,1,2
Tarde,1,Día laboral,6,20,1,1,1,1,bike,1,0,1,2
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,3,1,3
Tarde,1,Fin de semana,6,30,1,1,1,1,bike,1,6,1,3
Mañana,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Noche,1,Día laboral,6,30,1,9,1,1,bike,1,6,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,3,1,3
Mañana,1,Día laboral,6,30,1,1,1,1,bike,1,3,1,2
Tarde,2,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Tarde,1,Fin de semana,6,30,1,2,2,1,bike,1,3,1,3
Tarde,1,Día laboral,1,30,1,1,1,1,bike,2,2,1,3
Mañana,1,Día laboral,6,60,1,1,2,2,bike,1,0,1,2
Tarde,1,Fin de semana,6,60,1,1,1,2,bike,1,0,1,2
Tarde,1,Fin de semana,6,60,1,2,2,2,bike,1,0,1,2
Mañana,1,Fin de semana,6,30,1,1,1,1,bike,1,0,1,3
Tarde,1,Fin de semana,6,60,1,1,1,2,bike,2,0,1,2
Tarde,1,Día laboral,6,60,1,9,1,2,bike,2,0,1,2
Tarde,1,Día laboral,6,30,1,1,1,2,bike,1,0,1,3
Tarde,1,Día laboral,6,20,1,1,1,1,bike,1,3,1,3
Tarde,1,Día laboral,6,20,1,1,1,1,bike,1,3,1,2
Tarde,1,Fin de semana,6,40,1,1,2,1,bike,1,0,1,2
Noche,1,Fin de semana,9,30,1,1,1,2,bike,1,0,1,2
Mañana,1,Día laboral,6,40,1,1,1,2,bike,1,1,1,2
Tarde,1,Día laboral,6,30,1,1,1,1,bike,2,0,1,3
Tarde,2,Día laboral,6,20,1,1,1,1,bike,1,0,1,3
Noche,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Tarde,1,Fin de semana,6,30,1,1,1,1,bike,1,0,1,1
Noche,1,Fin de semana,6,30,4,1,1,1,bike,1,1,1,3
Tarde,2,Día laboral,6,30,1,1,1,2,bike,1,3,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Noche,1,Día laboral,3,30,1,2,2,1,bike,1,3,1,2
Noche,2,Fin de semana,6,30,4,1,1,1,bike,1,0,1,3
Noche,1,Día laboral,9,30,1,1,1,1,bike,1,0,1,3
Noche,1,Día laboral,6,60,1,1,2,2,bike,1,0,1,1
Mañana,1,Día laboral,6,60,6,1,2,1,bike,2,0,1,3
Mañana,1,Día laboral,1,30,1,9,1,1,bike,1,1,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,2
Tarde,1,Día laboral,6,30,1,1,2,1,bike,1,0,1,3
Tarde,2,Día laboral,6,60,1,1,2,2,bike,1,0,1,2
Noche,1,Fin de semana,6,30,4,1,2,1,bike,1,3,1,3
Mañana,1,Día laboral,6,60,1,1,4,2,bike,1,0,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Mañana,1,Fin de semana,6,30,1,2,2,2,bike,1,0,1,2
Tarde,1,Fin de semana,6,30,1,2,2,2,bike,2,8,1,2
Tarde,1,Fin de semana,6,60,1,1,1,2,bike,1,0,1,3
Mañana,1,Día laboral,3,70,1,1,1,2,bike,1,0,1,3
Noche,1,Día laboral,6,30,1,1,2,2,bike,1,0,1,2
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,6,1,2
Tarde,1,Día laboral,6,60,1,2,2,2,bike,1,0,1,2
Tarde,1,Día laboral,6,40,1,1,1,2,bike,1,1,1,3
Tarde,1,Día laboral,6,60,1,2,2,2,bike,1,0,1,2
Tarde,1,Fin de semana,6,30,1,1,1,2,bike,1,0,1,2
Mañana,1,Día laboral,6,60,1,1,1,2,bike,1,0,1,2
Tarde,1,Día laboral,2,30,1,1,1,1,bike,1,0,1,3
Noche,2,Fin de semana,6,30,1,1,1,1,bike,1,3,1,3
Noche,1,Día laboral,6,30,4,1,1,1,bike,1,3,1,3
Tarde,1,Día laboral,6,30,4,1,2,1,bike,1,0,1,3
Mañana,4,Día laboral,6,30,1,1,1,1,bike,1,6,1,3
Noche,1,Día laboral,6,30,4,2,2,1,bike,1,3,1,3
Tarde,1,Fin de semana,6,30,1,1,2,1,bike,1,0,1,3
Tarde,1,Día laboral,6,60,1,1,1,2,bike,1,0,1,3
Tarde,2,Día laboral,6,30,1,1,1,1,bike,2,0,1,3
Noche,1,Fin de semana,6,30,1,1,1,1,bike,1,0,1,3
Tarde,1,Día laboral,6,30,1,2,2,2,bike,2,0,1,3
Mañana,1,Fin de semana,6,30,1,1,1,2,bike,1,0,1,3
Tarde,1,Día laboral,6,40,1,1,1,2,bike,1,0,1,3
Tarde,1,Fin de semana,6,30,1,1,1,1,bike,2,0,1,2
Mañana,1,Fin de semana,6,30,1,2,2,1,bike,1,9,1,3
Mañana,1,Día laboral,2,30,1,1,1,1,bike,1,0,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,2,0,1,3
Tarde,1,Día laboral,3,30,1,1,1,1,bike,2,6,1,3
Mañana,1,Día laboral,6,30,1,1,1,1,bike,2,0,1,2
Tarde,1,Día laboral,6,30,1,4,1,1,bike,1,3,1,3
Tarde,1,Fin de semana,6,30,1,1,1,1,bike,2,0,1,2
Noche,1,Fin de semana,6,30,1,1,1,2,bike,1,0,1,2
Tarde,1,Fin de semana,6,30,1,1,1,1,bike,1,6,1,3
Tarde,1,Fin de semana,6,20,1,1,1,1,bike,2,3,1,3
Noche,1,Día laboral,3,40,4,1,2,1,bike,1,0,1,2
Noche,1,Fin de semana,6,30,1,8,1,1,bike,2,0,1,2
Tarde,2,Día laboral,9,30,1,1,1,1,bike,2,0,1,2
Tarde,1,Día laboral,1,60,1,1,1,1,bike,1,1,1,2
Noche,1,Fin de semana,6,60,1,1,1,2,bike,1,0,1,2
Mañana,2,Fin de semana,6,30,1,1,1,1,bike,1,0,1,2
Noche,2,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Noche,1,Fin de semana,6,30,6,1,2,2,bike,2,0,1,2
Mañana,2,Día laboral,6,30,1,1,1,2,bike,1,0,1,2
Noche,1,Fin de semana,6,30,1,1,1,1,bike,2,0,1,2
Tarde,1,Fin de semana,6,30,1,1,1,1,bike,2,0,1,2
Noche,1,Día laboral,6,30,4,1,1,1,bike,1,0,1,3
Mañana,1,Día laboral,6,60,1,1,1,2,bike,1,0,1,2
Noche,1,Día laboral,6,50,1,1,1,2,bike,1,0,1,3
Noche,1,Día laboral,6,20,1,1,1,1,bike,2,0,1,3
Tarde,2,Fin de semana,6,30,1,9,1,1,bike,2,0,1,2
Noche,1,Día laboral,6,30,1,1,1,2,bike,1,0,1,2
Tarde,2,Fin de semana,6,30,4,1,1,1,bike,1,3,1,3
Mañana,1,Día laboral,6,30,1,1,2,1,bike,1,0,1,3
Noche,2,Día laboral,6,30,1,1,1,1,bike,1,3,1,2
Tarde,1,Día laboral,6,30,1,8,2,1,bike,1,3,1,3
Tarde,1,Fin de semana,6,30,1,1,1,1,bike,2,0,1,3
Mañana,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Tarde,1,Día laboral,9,30,1,9,-1,2,bike,2,0,1,3
Tarde,1,Fin de semana,6,40,1,2,2,1,bike,1,0,1,3
Mañana,1,Fin de semana,6,30,1,1,1,1,bike,1,3,1,2
Noche,1,Día laboral,6,30,7,1,1,1,bike,1,0,1,3
Tarde,1,Día laboral,2,30,1,1,1,1,bike,2,0,1,2
Mañana,1,Día laboral,6,30,1,1,1,1,bike,1,6,1,2
Tarde,1,Día laboral,6,30,1,1,1,1,bike,2,3,1,2
Tarde,1,Día laboral,6,30,1,1,1,1,bike,2,1,1,3
Noche,1,Día laboral,6,20,4,1,2,1,bike,1,9,1,2
Tarde,1,Día laboral,6,40,1,9,1,1,bike,2,0,1,2
Tarde,1,Día laboral,6,30,1,8,1,1,bike,2,0,1,3
Mañana,1,Día laboral,6,40,1,1,1,2,bike,1,0,1,2
Tarde,2,Día laboral,6,30,1,1,1,1,bike,2,0,1,3
Mañana,1,Fin de semana,6,30,1,1,1,2,bike,1,0,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,3,1,3
Tarde,1,Día laboral,9,20,1,1,1,1,bike,2,0,1,2
Tarde,1,Día laboral,6,60,1,1,1,2,bike,1,3,1,3
Tarde,1,Día laboral,6,30,1,2,2,1,bike,1,0,1,2
Tarde,1,Fin de semana,6,30,1,1,1,1,bike,1,0,1,3
Noche,1,Fin de semana,6,60,1,1,1,2,bike,1,0,1,2
Tarde,1,Fin de semana,6,20,1,1,1,1,bike,2,0,1,2
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,3,1,3
Mañana,2,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Tarde,1,Fin de semana,6,30,1,1,1,1,bike,1,0,1,3
Tarde,1,Día laboral,6,60,1,1,1,2,bike,2,3,1,2
Mañana,1,Fin de semana,6,40,1,1,1,1,bike,1,2,1,3
Noche,1,Día laboral,6,50,1,1,1,2,bike,2,0,1,2
Tarde,1,Fin de semana,6,60,1,1,1,2,bike,2,3,1,3
Noche,1,Día laboral,6,30,5,1,1,2,bike,2,3,1,2
Tarde,1,Día laboral,9,30,1,1,1,1,bike,2,2,1,3
Tarde,1,Fin de semana,6,30,4,8,2,1,bike,2,2,1,2
Mañana,1,Fin de semana,6,60,1,1,1,2,bike,1,0,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,1
Tarde,1,Día laboral,6,60,1,1,1,2,bike,2,0,1,3
Noche,1,Fin de semana,6,20,4,1,1,1,bike,2,0,1,2
Mañana,1,Fin de semana,6,30,1,1,2,2,bike,1,0,1,2
Mañana,2,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Tarde,1,Día laboral,6,60,1,1,1,2,bike,1,0,1,2
Tarde,1,Fin de semana,6,60,1,1,2,2,bike,1,0,1,2
Tarde,1,Día laboral,6,60,1,1,1,2,bike,2,0,1,2
Tarde,1,Día laboral,6,30,1,1,1,2,bike,2,3,1,3
Mañana,1,Día laboral,6,60,1,1,1,2,bike,1,0,1,3
Mañana,1,Día laboral,6,30,1,1,1,1,bike,1,3,1,2
Mañana,2,Día laboral,6,20,1,1,1,1,bike,1,1,1,3
Tarde,1,Día laboral,6,40,1,1,1,2,bike,1,0,1,2
Tarde,1,Día laboral,6,20,1,1,1,1,bike,2,0,1,3
Tarde,2,Fin de semana,6,30,1,1,1,1,bike,1,3,1,3
Mañana,1,Día laboral,6,30,1,1,1,1,bike,1,3,1,3
Noche,2,Día laboral,2,20,1,1,1,1,bike,2,0,1,3
Mañana,1,Fin de semana,6,30,1,9,4,2,bike,2,0,1,3
Noche,1,Día laboral,6,60,1,1,1,2,bike,1,0,1,3
Noche,1,Día laboral,6,30,4,2,2,2,bike,1,0,1,2
Mañana,1,Día laboral,6,30,1,1,1,1,bike,2,3,1,2
Mañana,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,2
Tarde,1,Día laboral,1,60,4,1,1,1,bike,1,1,1,2
Noche,2,Fin de semana,6,30,4,1,1,1,bike,1,5,1,3
Mañana,1,Día laboral,6,30,1,1,1,1,bike,1,3,1,2
Tarde,1,Día laboral,6,60,1,1,1,2,bike,1,0,1,2
Mañana,1,Día laboral,6,30,1,1,2,1,bike,1,0,1,2
Noche,1,Día laboral,6,30,1,1,1,2,bike,1,0,1,2
Mañana,1,Día laboral,6,30,1,1,1,1,bike,2,3,1,3
Mañana,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Tarde,1,Día laboral,6,40,1,1,1,2,bike,1,0,1,3
Tarde,1,Día laboral,6,60,1,1,1,2,bike,1,0,1,2
Noche,1,Día laboral,6,30,1,1,1,1,bike,1,3,1,3
Mañana,1,Día laboral,6,30,1,1,1,1,bike,2,6,1,3
Noche,1,Día laboral,6,30,4,1,1,1,bike,1,3,1,2
Tarde,1,Día laboral,6,30,4,1,1,1,bike,1,3,1,3
Tarde,1,Día laboral,6,30,4,1,2,1,bike,2,0,1,2
Noche,1,Fin de semana,6,30,4,1,2,1,bike,1,0,1,3
Tarde,1,Fin de semana,6,30,1,1,1,1,bike,1,3,1,2
Tarde,1,Día laboral,6,30,1,2,2,1,bike,1,3,1,3
Mañana,1,Fin de semana,6,30,1,8,2,1,bike,1,0,1,3
Noche,1,Día laboral,6,30,4,1,1,1,bike,1,3,1,2
Noche,2,Día laboral,6,50,4,1,1,2,bike,1,0,1,2
Tarde,2,Día laboral,6,30,1,1,1,1,bike,1,0,1,2
Noche,1,Día laboral,6,30,4,1,1,2,bike,1,3,1,1
Noche,1,Día laboral,6,30,4,1,1,1,bike,1,3,1,3
Mañana,1,Día laboral,6,30,1,1,1,2,bike,1,0,1,3
Noche,2,Día laboral,6,30,4,1,1,1,bike,2,0,1,3
Mañana,1,Día laboral,6,60,1,1,1,2,bike,1,0,1,2
Tarde,1,Fin de semana,6,40,1,1,1,2,bike,1,0,1,2
Tarde,1,Día laboral,6,60,1,1,1,2,bike,1,0,1,3
Noche,1,Fin de semana,6,30,1,1,1,2,bike,1,0,1,2
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Mañana,1,Fin de semana,6,60,1,2,2,2,bike,2,0,1,3
Mañana,1,Día laboral,6,30,1,1,1,1,bike,1,3,1,3
Mañana,1,Fin de semana,6,30,1,1,1,2,bike,1,0,1,3
Tarde,1,Fin de semana,6,50,1,1,1,2,bike,1,3,1,2
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,2
Mañana,1,Día laboral,6,30,1,1,1,2,bike,1,0,1,2
Tarde,1,Fin de semana,6,30,1,1,1,1,bike,1,0,1,3
Tarde,1,Día laboral,6,30,1,1,1,2,bike,1,0,1,3
Tarde,1,Fin de semana,6,40,1,1,1,2,bike,1,0,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,2,0,1,3
Tarde,1,Día laboral,6,60,1,1,2,2,bike,1,0,1,2
Noche,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Noche,1,Fin de semana,6,30,4,8,2,2,bike,1,0,1,3
Mañana,1,Día laboral,9,30,1,1,1,2,bike,1,3,1,2
Mañana,1,Día laboral,3,30,1,1,1,1,bike,1,0,1,3
Noche,1,Fin de semana,6,30,1,1,1,1,bike,1,9,1,3
Noche,1,Día laboral,6,30,1,1,1,2,bike,1,3,1,2
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,3,1,3
Mañana,1,Día laboral,6,40,1,1,1,2,bike,1,0,1,1
Tarde,1,Día laboral,6,40,1,1,2,2,bike,1,3,1,3
Mañana,1,Fin de semana,6,30,1,1,1,1,bike,1,0,1,3
Tarde,1,Día laboral,6,30,1,1,1,2,bike,1,0,1,3
Tarde,1,Fin de semana,6,40,1,1,1,2,bike,1,0,1,2
Mañana,2,Día laboral,6,30,1,1,1,2,bike,1,0,1,3
Mañana,1,Fin de semana,6,60,1,1,1,2,bike,1,0,1,1
Noche,2,Día laboral,6,30,7,1,1,1,bike,2,0,1,3
Mañana,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Mañana,1,Día laboral,2,20,1,1,1,1,bike,1,0,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,3,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Mañana,1,Día laboral,6,30,1,1,1,2,bike,2,0,1,2
Tarde,1,Fin de semana,6,30,7,1,1,1,bike,1,0,1,3
Tarde,1,Día laboral,2,30,1,1,1,1,bike,2,9,1,3
Mañana,1,Fin de semana,6,40,1,1,2,1,bike,1,3,1,2
Tarde,1,Día laboral,3,70,7,1,1,2,bike,1,0,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Mañana,1,Día laboral,6,30,1,2,2,2,bike,1,0,1,3
Mañana,1,Día laboral,6,40,6,1,1,2,bike,1,0,1,3
Mañana,1,Fin de semana,6,60,1,1,2,2,bike,1,0,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,2
Tarde,1,Día laboral,6,30,4,9,2,1,bike,1,0,1,2
Mañana,1,Fin de semana,6,60,6,1,1,2,bike,1,0,1,3
Noche,1,Fin de semana,6,30,6,1,1,1,bike,1,0,1,3
Tarde,1,Fin de semana,6,60,1,1,1,2,bike,2,0,1,3
Noche,2,Día laboral,6,30,1,1,1,1,bike,1,3,1,3
Tarde,1,Día laboral,6,60,6,1,1,2,bike,2,3,1,2
Tarde,1,Fin de semana,6,40,1,1,-1,2,bike,2,0,1,2
Tarde,1,Fin de semana,6,60,1,1,1,2,bike,1,0,1,2
Mañana,1,Día laboral,6,50,1,1,1,2,bike,1,0,1,2
Tarde,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,3
Mañana,1,Fin de semana,6,30,1,1,1,1,bike,1,3,1,3
Tarde,1,Día laboral,6,30,1,1,1,2,bike,1,0,1,3
Mañana,2,Fin de semana,6,30,1,1,1,2,bike,1,1,1,3
Noche,1,Fin de semana,6,30,1,1,1,1,bike,1,0,1,2
Tarde,1,Día laboral,2,30,1,1,1,1,bike,1,9,1,3
Noche,1,Fin de semana,6,30,1,1,1,1,bike,1,0,1,3
Tarde,1,Fin de semana,6,30,1,2,2,2,bike,1,0,1,3
Tarde,1,Fin de semana,6,40,1,9,2,2,bike,1,0,1,3
Tarde,1,Fin de semana,6,30,1,1,1,1,bike,2,0,1,3
Noche,1,Fin de semana,6,60,1,1,1,2,bike,1,0,1,2
Noche,1,Fin de semana,6,30,1,1,1,1,bike,1,0,1,2
Mañana,1,Fin de semana,6,30,1,1,1,1,bike,1,0,1,2
Tarde,1,Fin de semana,6,60,1,1,1,2,bike,1,0,1,2
Tarde,1,Día laboral,9,30,1,1,1,1,bike,2,0,1,3
Tarde,1,Día laboral,6,30,1,1,1,1,bike,2,0,1,3
Tarde,1,Fin de semana,7,30,1,1,1,1,bike,2,5,1,2
Mañana,1,Fin de semana,6,30,1,2,2,1,bike,2,3,1,2
Tarde,1,Día laboral,6,30,1,2,2,2,bike,2,0,1,3
Tarde,1,Fin de semana,6,30,1,1,1,2,bike,1,0,1,3
Tarde,1,Día laboral,6,30,4,1,2,1,bike,1,9,1,3
Tarde,1,Día laboral,1,30,4,9,1,1,bike,1,1,1,2
Tarde,1,Día laboral,6,40,1,1,2,1,bike,2,0,1,3
Tarde,1,Día laboral,6,20,1,1,1,1,bike,1,3,1,3
Mañana,1,Fin de semana,6,20,1,5,2,1,bike,1,3,1,2
Tarde,1,Fin de semana,6,60,1,1,1,2,bike,1,0,1,2
Noche,1,Fin de semana,6,30,1,1,1,2,bike,1,0,1,1
Tarde,1,Día laboral,6,60,1,1,1,2,bike,1,0,1,3
Tarde,1,Fin de semana,6,60,1,1,1,2,bike,1,0,1,2
Noche,1,Día laboral,7,30,4,2,2,1,bike,1,3,1,3
Tarde,2,Día laboral,2,20,1,1,1,1,bike,1,6,1,2
Mañana,1,Día laboral,6,30,1,1,1,1,bike,1,0,1,2
Tarde,1,Fin de semana,6,30,1,4,1,1,bike,1,0,1,3
Tarde,1,Día laboral,3,30,4,4,1,1,bike,1,0,1,3
Tarde,1,Día laboral,6,20,1,1,1,1,bike,1,3,1,2
